glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.64,-79.41,0.2000984344285555,11,0,0.0,0.20774320723286002
43.64,-79.405,0.34718700751584647,2,2,1.0,0.833772559892441
43.64,-79.4,0.3162571433771977,37,0,0.0,0.38694514602629093
43.64,-79.395,0.2828868494796825,14,2,0.14285714285714285,0.3639702472466761
43.64,-79.39,0.24228308559476833,38,6,0.15789473684210525,0.40807871429095505
43.64,-79.385,0.31045473389222794,61,0,0.0,0.45358306784931574
43.64,-79.38,0.3773287451627759,41,2,0.04878048780487805,0.477849449416043
43.64,-79.375,0.34118037016123776,15,2,0.13333333333333333,0.41290989420301066
43.64,-79.35000000000001,0.3034569617006226,3,3,1.0,0.7985424334788934
43.64,-79.345,0.10680438742915284,9,0,0.0,0.12023285992119583
43.645,-79.575,0.23035812710886586,5,0,0.0,0.21626151424063034
43.645,-79.57000000000001,0.20206335455131927,12,0,0.0,0.212448327930451
43.645,-79.565,0.16399022319094692,17,2,0.11764705882352941,0.25580436215747465
43.645,-79.56,0.2605553978839604,10,2,0.2,0.36246621717574345
43.645,-79.555,0.1686664896376593,3,0,0.0,0.15637018377052878
43.645,-79.53,0.22791361998879664,9,0,0.0,0.22607662258584799
43.645,-79.525,0.1406753289469152,17,0,0.0,0.1737374515987839
43.645,-79.52,0.283100657393979,8,4,0.5,0.533505483987326
43.645,-79.515,0.25600771183264553,3,0,0.0,0.23270229650432914
43.645,-79.51,0.15271927468747648,18,0,0.0,0.18725116576884798
43.645,-79.505,0.21977107051233613,3,0,0.0,0.20103317943860838
43.645,-79.485,0.12029648518890276,5,0,0.0,0.12007282523938971
43.645,-79.46000000000001,0.07443907243577305,2,0,0.0,0.07103198797784517
43.645,-79.455,0.16352486082091625,7,0,0.0,0.16382813483956735
43.645,-79.45,0.23369580237542725,11,3,0.2727272727272727,0.3801161951046037
43.645,-79.44,0.22770395337194496,11,0,0.0,0.2318691300343253
43.645,-79.435,0.2252929800770298,6,0,0.0,0.21482268749753727
43.645,-79.43,0.2677663856676578,6,0,0.0,0.25194244266302374
43.645,-79.425,0.21712512272793344,18,0,0.0,0.24353884219229957
43.645,-79.42,0.2525213349507263,12,0,0.0,0.2565462252505611
43.645,-79.415,0.18913301270359922,14,0,0.0,0.20712356461753467
43.645,-79.41,0.2851922557097297,21,0,0.0,0.3119899284253551
43.645,-79.405,0.3601334549241243,63,3,0.047619047619047616,0.5279457576959914
43.645,-79.4,0.3930898047133155,32,2,0.0625,0.47192713926883584
43.645,-79.395,0.3958817758022166,36,6,0.16666666666666666,0.5409407378675427
43.645,-79.39,0.374067856562884,42,3,0.07142857142857142,0.4898634742809332
43.645,-79.385,0.5418626525820954,55,15,0.2727272727272727,0.7809059177823384
43.645,-79.38,0.5181905726139325,66,12,0.18181818181818182,0.745414082236849
43.645,-79.375,0.35618056060716924,50,0,0.0,0.46067868176803
43.645,-79.37,0.3581031108849947,59,4,0.06779661016949153,0.5248003836387235
43.645,-79.365,0.30725274623311166,22,2,0.09090909090909091,0.38192778788667137
